category	tool	status	first_official_method	one_liner	note
File Managers	nnn	VERIFIED_NO_ONE_LINER	source/packages	—	No single first one-line installer in root README.
File Managers	ntc	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
File Managers	ranger	VERIFIED_NO_ONE_LINER	source/packages	—	No single first one-line installer in root README.
File Managers	rovr	VERIFIED_ONE_LINER	uv	uv tool install rovr	
File Managers	s3duck-tui	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
File Managers	sfm	VERIFIED_ONE_LINER	source build	git clone https://github.com/afify/sfm && cd sfm/ && make && make install	
File Managers	superfile	VERIFIED_ONE_LINER	official install script	"bash -c ""$(curl -sLo- https://superfile.dev/install.sh)"""	
File Managers	TUIFIManager	VERIFIED_ONE_LINER	PyPI	sudo pip3 install tuifimanager --upgrade	
File Managers	Vifm	VERIFIED_ONE_LINER	apk	apk add vifm	
File Managers	yazi	VERIFIED_NO_ONE_LINER	delegated official install guide	—	Root README delegates install to official docs.
File Managers	ytreenova	VERIFIED_ONE_LINER	source build	git clone https://github.com/robkam/ytreenova.git && cd ytreenova && make && sudo make install	
Games	tui-2048	VERIFIED_ONE_LINER	PyPI	pip install tui-2048	
Games	awkaster	VERIFIED_ONE_LINER	dependency install + run	brew update && brew install gawk	
Games	balatrotui	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	bastet	VERIFIED_NO_ONE_LINER	delegated INSTALL	—	Root README delegates installation to INSTALL.
Games	botany	VERIFIED_NO_ONE_LINER	source/manual	—	No one-line installer in root README.
Games	brickgame-4bit	VERIFIED_NO_ONE_LINER	source/manual	—	No one-line installer in root README.
Games	BrogueCE	VERIFIED_NO_ONE_LINER	release/source	—	No one-line installer in root README.
Games	cbonsai	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Games	chess-tui	VERIFIED_ONE_LINER	Homebrew	brew install thomas-mauran/tap/chess-tui	
Games	clidle	VERIFIED_ONE_LINER	zero-install SSH	ssh clidle.duckdns.org -p 3000	
Games	csol	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	DOOM-ASCII	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	Gameboy Emulator	VERIFIED_ONE_LINER	source + Composer	git clone https://github.com/gabrielrcouto/php-terminal-gameboy-emulator.git && cd php-terminal-gameboy-emulator && composer install -o	
Games	GitType	VERIFIED_ONE_LINER	official install script	curl -sSL https://raw.githubusercontent.com/unhappychoice/gittype/main/install.sh | bash	
Games	go-life	VERIFIED_ONE_LINER	release binary	wget https://github.com/sachaos/go-life/releases/download/v0.4.0/go-life_darwin_amd64 -O /usr/local/bin/go-life && chmod +x /usr/local/bin/go-life	
Games	gokemon	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Games	Greed	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Games	Maze	VERIFIED_ONE_LINER	Homebrew	brew install itchyny/tap/maze	
Games	Maze TUI	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	Micro Snake	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	Micro Tetris	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	minesweep-rs	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	minesweeper_4d_rs	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Games	moon-buggy	VERIFIED_NO_ONE_LINER	source/manual	—	Upstream points to build/install instructions, no single command.
Games	MyMan	VERIFIED_NO_ONE_LINER	SourceForge/manual	—	No single official one-line installer found.
Games	nchess	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	NetHack	VERIFIED_NO_ONE_LINER	source/packages	—	No Installation section in root README.
Games	nInvaders	VERIFIED_NO_ONE_LINER	source/manual	—	No one-line installer on upstream page.
Games	nSnake	VERIFIED_ONE_LINER	source build	make && sudo make install	
Games	nudoku	VERIFIED_ONE_LINER	source build/run	./configure && make && ./src/nudoku	
Games	onx	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	pokete	VERIFIED_ONE_LINER	PyPI	pip install pokete	
Games	Rebels in the sky	VERIFIED_ONE_LINER	zero-install SSH	ssh frittura.org	
Games	snake	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	Square Tic Tac Toe	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Games	ssHattrick	VERIFIED_ONE_LINER	zero-install SSH	ssh frittura.org	
Games	sshtron	VERIFIED_ONE_LINER	zero-install SSH	ssh sshtron.zachlatta.com	
Games	sssnake	VERIFIED_ONE_LINER	source build	git clone https://github.com/AngelJumbo/sssnake.git && cd sssnake && make && sudo make install	
Games	steam-tui	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	sudoku-rs	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	sweeper	VERIFIED_ONE_LINER	Poetry	pip install poetry && poetry install	
Games	terminal-phase	VERIFIED_NO_ONE_LINER	GitLab/manual	—	Upstream page was not safely retrievable.
Games	terminal-pong	VERIFIED_ONE_LINER	source + Cargo run	git clone https://github.com/IshmamR/terminal.pong.git && cd terminal.pong && cargo run --release	
Games	termrex	VERIFIED_ONE_LINER	source build	git clone https://github.com/SATYADAHAL/termrex.git && cd termrex && make -j release && ./build/termrex	
Games	tetro-tui	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	tinytetris	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	tty-solitaire	VERIFIED_NO_ONE_LINER	source/manual	—	No Installation section in root README.
Games	typeinc	VERIFIED_ONE_LINER	PyPI	pip install typeinc	
Games	typing-game-cli	VERIFIED_ONE_LINER	npm	npm install --global typing-game-cli	
Games	UniPac	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Games	wocogo	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Games	Wordle	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Games	Zigtris	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Games	Zoridor	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Argenta	VERIFIED_ONE_LINER	PyPI	python -m pip install argenta	
Libraries	blessed (Python)	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	blessings	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	notcurses	VERIFIED_NO_ONE_LINER	delegated INSTALL	—	Root docs delegate build/install to INSTALL.
Libraries	py_cui	VERIFIED_ONE_LINER	PyPI	pip install py-cui	
Libraries	pytermgui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Python Prompt Toolkit	VERIFIED_ONE_LINER	PyPI	pip install prompt_toolkit	
Libraries	pyTermTk	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Rich	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	textual	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	UniCurses	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	urwid	VERIFIED_ONE_LINER	PyPI	pip install urwid	
Libraries	Vindauga	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	xnano	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	bubbletea	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	gocui	VERIFIED_ONE_LINER	Go dependency	go get github.com/jroimartin/gocui	
Libraries	pterm	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	stickers	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	tui-go	VERIFIED_ONE_LINER	Go dependency	go get github.com/marcusolsson/tui-go	
Libraries	tview	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	tcell	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	AnbUI	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	libuv	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	ncurses	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	tuibox	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	ASCII_Board_Game_Engine	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	ConsoleCraftEngine	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	FINAL CUT	VERIFIED_ONE_LINER	source build	"git clone https://github.com/gansm/finalcut.git && cd finalcut && autoreconf --install --force && ./configure --prefix=/usr && make && su -c ""make install"""	
Libraries	FTXUI	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	GGUI	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	imtui	VERIFIED_ONE_LINER	source build	git clone https://github.com/ggerganov/imtui --recursive && cd imtui && mkdir build && cd build && cmake .. && make	
Libraries	rang	VERIFIED_NO_ONE_LINER	header-only	—	Official first path is to add the header file to the project; no installer command.
Libraries	termdb	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Tui Widgets	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	tvision	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	uvw	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	xtd	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	casciian	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Jexer	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Lanterna	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	TUI4J	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Consolonia	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Elaris.UI	VERIFIED_ONE_LINER	.NET package	dotnet add package Ambystech.Elaris.UI	
Libraries	Hex1b	VERIFIED_ONE_LINER	.NET package	dotnet add package Hex1b	
Libraries	SharpConsoleUI	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Spectre.Console	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Terminal.Gui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	iocraft	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Ratatui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	tui-input	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	tui-rs	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Zaz	VERIFIED_NO_ONE_LINER	Cargo.toml dependency	—	Official docs show a Cargo.toml dependency declaration rather than shell install.
Libraries	Ashen	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	blessed (Node.js)	VERIFIED_ONE_LINER	npm	npm install blessed	
Libraries	gum	VERIFIED_ONE_LINER	Homebrew	brew install gum	
Libraries	ink	VERIFIED_ONE_LINER	npm	npm install ink react	
Libraries	ink-web	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Melker	VERIFIED_ONE_LINER	Deno	deno install -g -A jsr:@melker/melker	
Libraries	moulti	VERIFIED_ONE_LINER	pipx	pipx install moulti; pipx ensurepath	
Libraries	nimwave	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	nocterm	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	OpenTUI	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	php-tui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	@pierre/diffs	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	@pierre/trees	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	termbox2	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	TermGL	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Libraries	Thermage	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	aerc	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	alpine	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	basalt	VERIFIED_ONE_LINER	Cargo	cargo install basalt-tui	
Messaging	concord	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	Devzat	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	discordo	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	endcord	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	Gomphotherium	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	gomuks	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	gurk-rs	VERIFIED_NO_ONE_LINER	release binary	—	First official path is precompiled binary/manual download.
Messaging	iamb	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	instagram-cli	VERIFIED_ONE_LINER	npm	npm install -g @i7m/instagram-cli	
Messaging	irssi	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	marchat	VERIFIED_ONE_LINER	release archive	wget https://github.com/Cod-e-Codes/marchat/releases/download/v1.3.4/marchat-v1.3.4-linux-amd64.zip && unzip marchat-v1.3.4-linux-amd64.zip && chmod +x marchat-*	
Messaging	mastui	VERIFIED_ONE_LINER	pipx	pipx install mastui	
Messaging	matcha	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	matterhorn	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual release download.
Messaging	mcabber	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	meli	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	Mutt	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	nchat	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	nomadnet	VERIFIED_ONE_LINER	PyPI	pip install nomadnet	
Messaging	nostui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	nostratui	VERIFIED_ONE_LINER	source + Cargo	git clone https://github.com/adamm-xyz/nostratui.git && cd nostratui && cargo build	
Messaging	Profanity	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	sclack	VERIFIED_ONE_LINER	source + pip	git clone https://github.com/haskellcamargo/sclack.git && cd sclack && pip3 install -r requirements.txt && chmod +x ./app.py	
Messaging	scli	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	siggo	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	Slack-term	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual release binary download/move.
Messaging	sup	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	SuperChat	VERIFIED_ONE_LINER	official install script	curl -fsSL https://raw.githubusercontent.com/aeolun/superchat/main/install.sh | sh	
Messaging	Superhighway84	VERIFIED_NO_ONE_LINER	release/manual	—	First official path is manual prerequisites/release setup.
Messaging	tgt	VERIFIED_ONE_LINER	Cargo	cargo install tgt	
Messaging	toot	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	tuisky	VERIFIED_ONE_LINER	Cargo	cargo install tuisky	
Messaging	tuix	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	tut	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	twitch-tui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	Weechat	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Messaging	zulip-terminal	VERIFIED_ONE_LINER	PyPI	pip3 install zulip-term	
Miscellaneous	arttime	VERIFIED_ONE_LINER	official installer	"zsh -c '{url=""https://gist.githubusercontent.com/poetaman/bdc598ee607e9767fe33da50e993c650/raw/d0146d258a30daacb9aee51deca9410d106e4237/arttime_online_installer.sh""; zsh -c ""$(curl -fsSL $url || wget -qO- $url)""}'"	
Miscellaneous	asciiMol	VERIFIED_ONE_LINER	PyPI	pip install asciimol	
Miscellaneous	bluetuith	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Miscellaneous	bluetui	VERIFIED_ONE_LINER	Cargo	cargo install bluetui	
Miscellaneous	Caligula	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual binary download.
Miscellaneous	Captain's log	VERIFIED_ONE_LINER	source install	sudo make install	
Miscellaneous	cava	VERIFIED_ONE_LINER	source build	make install	
Miscellaneous	cfdisk	VERIFIED_NO_ONE_LINER	util-linux build/docs	—	No standalone cfdisk installer; it ships with util-linux.
Miscellaneous	cgdisk	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Miscellaneous	csvlens	VERIFIED_NO_ONE_LINER	direct download	—	First official path is manual direct download.
Miscellaneous	CrunchyCleaner	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual binary download.
Miscellaneous	diary	VERIFIED_ONE_LINER	Cargo	cargo install diary	
Miscellaneous	DigiSurf	VERIFIED_ONE_LINER	Cargo	cargo install digisurf	
Miscellaneous	diskonaut	VERIFIED_NO_ONE_LINER	prebuilt binary	—	First official path is manual prebuilt binary download.
Miscellaneous	distrobox-tui	VERIFIED_ONE_LINER	Go	go install github.com/phanirithvij/distrobox-tui@main	
Miscellaneous	ec2-instance-selector	VERIFIED_ONE_LINER	Homebrew	brew tap aws/tap && brew install ec2-instance-selector	
Miscellaneous	emu2	VERIFIED_NO_ONE_LINER	source/manual	—	No app installer in root README.
Miscellaneous	flawz	VERIFIED_ONE_LINER	Cargo	cargo install --locked flawz	
Miscellaneous	fnf	VERIFIED_NO_ONE_LINER	package repositories	—	First path is distro package repositories without one universal command.
Miscellaneous	fzf	VERIFIED_ONE_LINER	apk	sudo apk add fzf	
Miscellaneous	gdu	VERIFIED_ONE_LINER	release tarball	curl -L https://github.com/dundee/gdu/releases/latest/download/gdu_linux_amd64.tgz | tar xz && chmod +x gdu_linux_amd64 && mv gdu_linux_amd64 /usr/bin/gdu	
Miscellaneous	gif-for-cli	VERIFIED_ONE_LINER	PyPI	pip3 install --user gif-for-cli	
Miscellaneous	godap	VERIFIED_ONE_LINER	source + Go	git clone https://github.com/Macmod/godap && cd godap && go install .	
Miscellaneous	golazo	VERIFIED_ONE_LINER	Homebrew	brew install 0xjuanma/tap/golazo	
Miscellaneous	gpg-tui	VERIFIED_ONE_LINER	Cargo	cargo install gpg-tui	
Miscellaneous	HumBLE Explorer	VERIFIED_ONE_LINER	PyPI	pip install humble-explorer	
Miscellaneous	IconicFonts	VERIFIED_NO_ONE_LINER	assets/manual	—	No application installer in root README.
Miscellaneous	impala	VERIFIED_NO_ONE_LINER	release binary	—	First official path is manual binary download.
Miscellaneous	isw	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Miscellaneous	jrnl	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Miscellaneous	keydex	VERIFIED_ONE_LINER	official install script	curl -s https://shikaan.github.io/sup/install | REPO=shikaan/keydex sh -	
Miscellaneous	lazynginx	VERIFIED_ONE_LINER	release tarball	"LAZYNGINX_VERSION=$(curl -s ""https://api.github.com/repos/giacomomasseron/lazynginx/releases/latest"" | grep -Po '""tag_name"": *""v\K[^""]*') && curl -Lo lazynginx.tar.gz ""https://github.com/giacomomasseron/lazynginx/releases/download/v${LAZYNGINX_VERSION}/lazynginx_${LAZYNGINX_VERSION}_linux_amd64.tar.gz"" && tar xf lazynginx.tar.gz lazynginx && sudo install lazynginx -D -t /usr/local/bin/"	
Miscellaneous	LearnByExample	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Miscellaneous	lnav	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Miscellaneous	mac-cleanup-go	VERIFIED_ONE_LINER	Homebrew	brew install mac-cleanup-go	
Miscellaneous	mapscii	VERIFIED_ONE_LINER	zero-install telnet	telnet mapscii.me	
Miscellaneous	mqttui	VERIFIED_ONE_LINER	apk	apk add mqttui	
Miscellaneous	moc	VERIFIED_NO_ONE_LINER	distro package/manual	—	Upstream leads with distro packages; no single universal command captured.
Miscellaneous	moribito	VERIFIED_ONE_LINER	official install script	curl -sSL https://raw.githubusercontent.com/ericschmar/moribito/main/scripts/install.sh | bash	
Miscellaneous	NanoCore	VERIFIED_NO_ONE_LINER	release binary	—	First official path is compiled binary/manual download.
Miscellaneous	neoss	VERIFIED_ONE_LINER	npm	npm install -g neoss	
Miscellaneous	nmtui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Miscellaneous	oha	VERIFIED_ONE_LINER	Cargo	cargo install oha	
Miscellaneous	packemon	VERIFIED_ONE_LINER	source + Go	git clone git@github.com:ddddddO/packemon.git && cd packemon && cd tc_program/ && go generate && cd - && go build -o packemon cmd/packemon/*.go && mv packemon /usr/local/bin/	
Miscellaneous	pass-cli	VERIFIED_ONE_LINER	Homebrew	brew tap reyamira/homebrew-tap && brew install pass-cli	
Miscellaneous	PesterExplorer	VERIFIED_ONE_LINER	PowerShell Gallery	Install-Module PesterExplorer -Scope CurrentUser	
Miscellaneous	pug	VERIFIED_ONE_LINER	Go	go install github.com/leg100/pug@latest	
Miscellaneous	physics-TUI	VERIFIED_ONE_LINER	PyPI/git	pip install git+https://github.com/ClaudioRMalvino/physics_tui.git	
Miscellaneous	ncdu	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Miscellaneous	redu	VERIFIED_ONE_LINER	Cargo	cargo install redu --locked	
Miscellaneous	nemu	VERIFIED_ONE_LINER	apk	apk add nemu	
Miscellaneous	recoverpy	VERIFIED_ONE_LINER	uv tool	uv tool install recoverpy	
Miscellaneous	rocket.term	VERIFIED_ONE_LINER	setup.py	./setup.py install --user	
Miscellaneous	smassh	VERIFIED_ONE_LINER	PyPI	pip install smassh	
Miscellaneous	steam_friends_list_tui	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Miscellaneous	Systemd-manager-tui	VERIFIED_ONE_LINER	Debian package	sudo dpkg -i ./systemd-manager-tui_x.x.x-x_amd64.deb	
Miscellaneous	tcpterm	VERIFIED_ONE_LINER	Go	go install github.com/sachaos/tcpterm	
Miscellaneous	tab-pal	VERIFIED_ONE_LINER	pipx	pipx install tab-pal	
Miscellaneous	term.everything	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Miscellaneous	terminalperiodictable	VERIFIED_ONE_LINER	source build	sudo make install	
Miscellaneous	termshark	VERIFIED_NO_ONE_LINER	distro packages	—	First official path is package repositories without one universal command.
Miscellaneous	thokr	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
